,Total Revenue
GME,5089800000.0
GMED,789042000.0
GMRE,93730000.0
GMS,3241307000.0
GNK,355560000.0
GNL,330104000.0
GNRC,2485200000.0
GNSS,43010000.0
GNTX,1688189405.0
GNTY,99819000.0
GNW,8658000000.0
GO,3134640000.0
GOCO,877350000.0
GOGO,269718000.0
GOLF,1612169000.0
GOOD,133152000.0
GOOG,182527000000.0
GOOGL,182527000000.0
GORO,90692000.0
GOSS,0.0
GPC,16537433000.0
GPI,10851800000.0
GPK,6559900000.0
GPMT,72185000.0
GPN,7423558000.0
GPRE,1923719000.0
GPRO,891925000.0
GPS,13800000000.0
GPX,473107000.0
GRA,1729800000.0
GRBK,976021000.0
GRC,348967000.0
GRMN,4186573000.0
GRPN,1416868000.0
GRTS,4037000.0
GRUB,1819982000.0
GRWG,193365479.0
GS,41462000000.0
GSBC,196237000.0
GSHD,116201000.0
GSKY,525649000.0
GT,12321000000.0
GTES,2793000000.0
GTHX,45285000.0
GTLS,1177100000.0
GTN,2381000000.0
GTS,3702438000.0
GTT,1727800000.0
GTY,147346000.0
GTYH,48128000.0
GVA,3562459000.0
GWB,301050000.0
GWRE,742307000.0
GWRS,38627000.0
GWW,11797000000.0
H,780000000.0
HA,844813000.0
HAE,870463000.0
HAFC,177548000.0
HAIN,2053903000.0
HAL,14445000000.0
HALO,267594000.0
HARP,17444000.0
HAS,5465443000.0
HASI,84629000.0
HAYN,380530000.0
HBAN,3763000000.0
HBB,603713000.0
HBCP,93788000.0
HBI,6664350000.0
HBIO,102100000.0
HBMD,76116000.0
HBNC,213999000.0
HBT,141529000.0
HCA,51533000000.0
HCAT,188845000.0
HCC,782738000.0
HCCI,405951000.0
HCI,273468000.0
HCKT,234810000.0
HCSG,1760303000.0
HD,132110000000.0
HE,2579775000.0
HEAR,360093000.0
HEES,1169120000.0
HEI,1787009000.0
HELE,2098799000.0
HES,4543000000.0
HFC,11183643000.0
HFFG,566831075.0
HFWA,199569000.0
HGV,757000000.0
HHC,699489000.0
HI,2517000000.0
HIBB,1419657000.0
HIFS,92108000.0
HIG,20494000000.0
HII,9361000000.0
HIW,740905000.0
HL,691873000.0
HLF,5541800000.0
HLI,1158487000.0
HLIO,523040000.0
HLIT,378831000.0
HLNE,274048000.0
HLT,1600000000.0
HMHC,1031292000.0
HMN,1310441000.0
HMST,337557000.0
HMTV,151184000.0
HNGR,1001150000.0
HNI,1955363000.0
HOFT,540081000.0
HOG,4054377000.0
HOLX,3776400000.0
HOMB,582077000.0
HOME,1737063000.0
HON,32637000000.0
HONE,224397000.0
HOPE,425930000.0
HP,1773927000.0
HPE,26982000000.0
HPP,805701000.0
HPQ,56639000000.0
HQY,733570000.0
HR,498862000.0
HRB,2639720000.0
HRC,2881000000.0
HRI,1781300000.0
HRL,9608462000.0
HRTG,593385000.0
HRTX,88638000.0
HSC,1863864000.0
HSIC,10119141000.0
HSII,621615000.0
HSKA,197323000.0
HST,1590000000.0
HSTM,244826000.0
HSY,8149719000.0
HT,173722000.0
HTA,740577000.0
HTBI,125936000.0
HTBK,138579000.0
HTH,2018155000.0
HTLD,645262000.0
HTLF,535198000.0
HUBB,4186000000.0
HUBG,3495644000.0
HUBS,883026000.0
HUM,77155000000.0
HUN,6018000000.0
HURC,170627000.0
HURN,844127000.0
HVT,748252000.0
HWC,660204000.0
HWKN,540198000.0
HWM,5259000000.0
HXL,1502400000.0
HY,2812100000.0
HYFM,342205000.0
HZNP,2200429000.0
HZO,1509713000.0
IAA,1384900000.0
IAC,3047681000.0
IART,1371868000.0
IBCP,191894000.0
IBIO,1638000.0
IBKR,2237000000.0
IBM,73621000000.0
IBOC,493089000.0
IBP,1653225000.0
IBRX,1695000.0
IBTX,558516000.0
ICAD,29698000.0
ICE,6036000000.0
ICFI,1506875000.0
ICHR,914236000.0
ICPT,312690000.0
ICUI,1271004000.0
IDA,1350729000.0
IDCC,358991000.0
IDT,1345769000.0
IDXX,2706655000.0
IDYA,19538000.0
IESC,1190856000.0
IEX,2351646000.0
